Date : 2021-01-18 15:06:43
Directory : c:\Users\phil\Documents\Arduino\libraries\H4Plugins
Total : 183 files,  11871 codes, 3489 comments, 2774 blanks, all 18134 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| examples\GPIO\H4GM_AnalogThreshold                                                                                            |          1 |         17 |         37 |          6 |         60 |
| examples\GPIO\H4GM_AnalogAverage                                                                                              |          1 |         17 |         32 |          6 |         55 |
| examples\THINGS\H4P_BinarySwitch                                                                                              |          1 |         16 |          9 |          2 |         27 |
| examples\GPIO\H4GM_Sequenced                                                                                                  |          1 |         16 |         41 |          5 |         62 |
| examples\GPIO\H4GM_EncoderAuto                                                                                                |          1 |         16 |         61 |          4 |         81 |
| examples\GPIO\H4GM_Debounced                                                                                                  |          1 |         16 |         40 |          5 |         61 |
| examples\XTRAS\Generic_SONOFF                                                                                                 |          1 |         15 |         11 |          2 |         28 |
| examples\GPIO\H4GM_Polled                                                                                                     |          1 |         15 |         37 |          7 |         59 |
| examples\GPIO\H4GM_Circular                                                                                                   |          1 |         15 |         42 |          5 |         62 |
| examples\XTRAS\Generic_SONOFF_APMODE                                                                                          |          1 |         14 |          8 |          1 |         23 |
| examples\BASICS\H4P_SerialCmd                                                                                                 |          1 |         14 |         18 |          2 |         34 |
| examples\THINGS\H4P_ConditionalSwitch                                                                                         |          1 |         13 |          0 |          5 |         18 |
| examples\FLASHER\H4FC_Integrated                                                                                              |          1 |         13 |          8 |          4 |         25 |
| examples\GPIO\H4GM_RetriggeringSource                                                                                         |          1 |         13 |         39 |          6 |         58 |
| examples\GPIO\H4GM_LatchingSource                                                                                             |          1 |         13 |         48 |          4 |         65 |
| examples\GPIO\H4GM_PolledSource                                                                                               |          1 |         13 |         40 |          5 |         58 |
| examples\GPIO\H4GM_EncoderSource                                                                                              |          1 |         13 |         40 |          3 |         56 |
| examples\GPIO\H4GM_DebouncedSource                                                                                            |          1 |         13 |         41 |          4 |         58 |
| examples\TIME\H4P_SunriseSunset                                                                                               |          1 |         12 |          0 |          3 |         15 |
| examples\FLASHER\H4FC_ActiveLow                                                                                               |          1 |         12 |          7 |          3 |         22 |
| examples\GPIO\H4GM_RawSource                                                                                                  |          1 |         12 |         34 |          2 |         48 |
| examples\PRESENCE\H4P_PresenceDetectIP                                                                                        |          1 |         10 |          0 |          2 |         12 |
| examples\XTRAS\H4P_SONOFF_Basic                                                                                               |          1 |          9 |         14 |          1 |         24 |
| examples\XTRAS\Generic_ESP01S                                                                                                 |          1 |          9 |          0 |          0 |          9 |
| examples\GPIO\H4GM_AnalogThresholdSource                                                                                      |          1 |          9 |          1 |          4 |         14 |
| examples\THINGS\H4P_BinaryThingAutoOff                                                                                        |          1 |          8 |          1 |          3 |         12 |
| examples\LOGGING\H4P_Loggers                                                                                                  |          1 |          8 |          0 |          2 |         10 |
| examples\PRESENCE\H4P_PresenceDetectMDNS                                                                                      |          1 |          7 |          0 |          1 |          8 |
| examples\LOGGING\H4P_MQTTHeapLogger                                                                                           |          1 |          7 |          0 |          3 |         10 |
| SPIFFS                                                                                                                        |          1 |          6 |          0 |          1 |          7 |
| LittleFS                                                                                                                      |          1 |          6 |          0 |          1 |          7 |
| examples\PRESENCE\H4P_PresenceDetectUPNP                                                                                      |          1 |          6 |          1 |          2 |          9 |
| examples\PRESENCE\H4P_PresenceDetectH4                                                                                        |          1 |          6 |          0 |          3 |          9 |
| examples\THINGS\H4P_BinaryThing                                                                                               |          1 |          6 |          9 |          5 |         20 |
| examples\DIAGNOSTICS\H4P_LoopCount                                                                                            |          1 |          6 |          0 |          2 |          8 |
| examples\WEBUI\WebUI_Minimum                                                                                                  |          1 |          3 |          0 |          1 |          4 |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                      | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\LittleFS\fs.bat                                                           | Batch              |          6 |          0 |          1 |          7 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\README.md                                                                 | Markdown           |        186 |          0 |         96 |        282 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\SPIFFS\spiffs.bat                                                         | Batch              |          6 |          0 |          1 |          7 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\assets\H4P_Skeleton.cpp                                                   | C++                |         29 |         31 |         10 |         70 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\assets\H4P_Skeleton.h                                                     | C++                |         25 |         29 |          8 |         62 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\data\h4.css                                                               | CSS                |        140 |          0 |          4 |        144 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\data\h4.js                                                                | JavaScript         |        130 |          0 |         13 |        143 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\data\soap.xml                                                             | XML                |          6 |          0 |          2 |          8 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\data\sta.htm                                                              | HTML               |         53 |         33 |          2 |         88 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\data\up.xml                                                               | XML                |         32 |          0 |          0 |         32 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\data\wescp.xml                                                            | XML                |         37 |          0 |          0 |         37 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\advanced.md                                                          | Markdown           |        181 |          0 |         63 |        244 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4asws.md                                                            | Markdown           |        137 |          0 |         54 |        191 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4ce.md                                                              | Markdown           |         55 |          0 |         26 |         81 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4cmd.md                                                             | Markdown           |        176 |          0 |         95 |        271 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4esw.md                                                             | Markdown           |         80 |          0 |         36 |        116 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4fc.md                                                              | Markdown           |         63 |          0 |         36 |         99 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4gm.md                                                              | Markdown           |        318 |          0 |        170 |        488 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4hw.md                                                              | Markdown           |         45 |          0 |         24 |         69 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4lc.md                                                              | Markdown           |         45 |          0 |         23 |         68 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4logs.md                                                            | Markdown           |        217 |          0 |        111 |        328 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4mfnb.md                                                            | Markdown           |         71 |          0 |         36 |        107 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4mqtt.md                                                            | Markdown           |        183 |          0 |         92 |        275 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4pd.md                                                              | Markdown           |         91 |          0 |         40 |        131 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4qw.md                                                              | Markdown           |         45 |          0 |         24 |         69 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4ru.md                                                              | Markdown           |         44 |          0 |         26 |         70 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4stor.md                                                            | Markdown           |         55 |          0 |         27 |         82 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4tk.md                                                              | Markdown           |        126 |          0 |         47 |        173 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4tone.md                                                            | Markdown           |        114 |          0 |         45 |        159 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4ts.md                                                              | Markdown           |         55 |          0 |         31 |         86 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\h4wifi.md                                                            | Markdown           |         61 |          0 |         35 |         96 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\mysql.md                                                             | Markdown           |        106 |          0 |         55 |        161 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\rant.md                                                              | Markdown           |         15 |          0 |         11 |         26 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\rn051.md                                                             | Markdown           |        189 |          0 |        116 |        305 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\rn055.md                                                             | Markdown           |         40 |          0 |         24 |         64 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\rn056.md                                                             | Markdown           |         51 |          0 |         25 |         76 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\rn057.md                                                             | Markdown           |         28 |          0 |         21 |         49 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\rn100.md                                                             | Markdown           |         67 |          0 |         30 |         97 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\docs\things.md                                                            | Markdown           |        162 |          0 |         70 |        232 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\BASICS\H4P_CmdErrors\H4P_CmdErrors.ino                           | C++                |         17 |         21 |          5 |         43 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\BASICS\H4P_PersistentStorage\H4P_PersistentStorage.ino           | C++                |         23 |          0 |          4 |         27 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\BASICS\H4P_SerialCmd\H4P_SerialCmd.ino                           | C++                |         14 |         18 |          2 |         34 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\BASICS\H4_TaskNames\H4_TaskNames.ino                             | C++                |         36 |         22 |          4 |         62 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\DIAGNOSTICS\H4P_HeapWarn\H4P_HeapWarn.ino                        | C++                |         23 |         10 |          4 |         37 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\DIAGNOSTICS\H4P_LoopCount\H4P_LoopCount.ino                      | C++                |          6 |          0 |          2 |          8 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\DIAGNOSTICS\H4P_QueueWarn\H4P_QueueWarn.ino                      | C++                |         32 |         13 |          4 |         49 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\DIAGNOSTICS\H4P_TaskSniffer\H4P_TaskSniffer.ino                  | C++                |         41 |         31 |          4 |         76 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\FLASHER\H4FC_ActiveLow\H4FC_ActiveLow.ino                        | C++                |         12 |          7 |          3 |         22 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\FLASHER\H4FC_Basic\H4FC_Basic.ino                                | C++                |         18 |          5 |          5 |         28 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\FLASHER\H4FC_Integrated\H4FC_Integrated.ino                      | C++                |         13 |          8 |          4 |         25 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_AnalogAverage\H4GM_AnalogAverage.ino                   | C++                |         17 |         32 |          6 |         55 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_AnalogThresholdSource\H4GM_AnalogThresholdSource.ino   | C++                |          9 |          1 |          4 |         14 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_AnalogThreshold\H4GM_AnalogThreshold.ino               | C++                |         17 |         37 |          6 |         60 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Circular\H4GM_Circular.ino                             | C++                |         15 |         42 |          5 |         62 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_DebouncedSource\H4GM_DebouncedSource.ino               | C++                |         13 |         41 |          4 |         58 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Debounced\H4GM_Debounced.ino                           | C++                |         16 |         40 |          5 |         61 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_EncoderAuto\H4GM_EncoderAuto.ino                       | C++                |         16 |         61 |          4 |         81 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_EncoderSource\H4GM_EncoderSource.ino                   | C++                |         13 |         40 |          3 |         56 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Encoder\H4GM_Encoder.ino                               | C++                |         18 |         38 |          3 |         59 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Filtered\H4GM_Filtered.ino                             | C++                |         18 |         34 |          6 |         58 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_LatchingSource\H4GM_LatchingSource.ino                 | C++                |         13 |         48 |          4 |         65 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Latching\H4GM_Latching.ino                             | C++                |         17 |         39 |          6 |         62 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Multistage\H4GM_Multistage.ino                         | C++                |         46 |         45 |          6 |         97 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_PolledSource\H4GM_PolledSource.ino                     | C++                |         13 |         40 |          5 |         58 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Polled\H4GM_Polled.ino                                 | C++                |         15 |         37 |          7 |         59 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_RawSource\H4GM_RawSource.ino                           | C++                |         12 |         34 |          2 |         48 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Raw\H4GM_Raw.ino                                       | C++                |         17 |         36 |          5 |         58 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Repeating\H4GM_Repeating.ino                           | C++                |         24 |         41 |          6 |         71 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_RetriggeringSource\H4GM_RetriggeringSource.ino         | C++                |         13 |         39 |          6 |         58 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Retriggering\H4GM_Retriggering.ino                     | C++                |         18 |         38 |          6 |         62 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Sequenced\H4GM_Sequenced.ino                           | C++                |         16 |         41 |          5 |         62 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\GPIO\H4GM_Timed\H4GM_Timed.ino                                   | C++                |         20 |         38 |          6 |         64 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_CustomLogger\H4P_CustomLogger.ino                    | C++                |         20 |          1 |          7 |         28 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_HttpMySQLLogger\H4P_HttpMySQLLogger.ino              | C++                |         11 |          0 |          4 |         15 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_HttpMySQLLogger\mysqlrest\README.md                  | Markdown           |         56 |          0 |         21 |         77 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_HttpMySQLLogger\mysqlrest\h4.js                      | JavaScript         |         19 |          4 |          4 |         27 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_HttpMySQLLogger\mysqlrest\mysqllogger.code-workspace | JSON with Comments |          8 |          0 |          0 |          8 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_HttpMySQLLogger\mysqlrest\package-lock.json          | JSON               |      1,193 |          0 |          1 |      1,194 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_HttpMySQLLogger\mysqlrest\package.json               | JSON               |         23 |          0 |          1 |         24 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_HttpMySQLLogger\mysqlrest\routes\index.js            | JavaScript         |         89 |          1 |          7 |         97 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_Loggers\H4P_Loggers.ino                              | C++                |          8 |          0 |          2 |         10 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_MQTTHeapLogger\H4P_MQTTHeapLogger.ino                | C++                |          7 |          0 |          3 |         10 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\LOGGING\H4P_MQTTLogger\H4P_MQTTLogger.ino                        | C++                |         20 |          0 |          5 |         25 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\MQTT\H4P_MQTT_CustomLWT\H4P_MQTT_CustomLWT.ino                   | C++                |         28 |         15 |          7 |         50 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\MQTT\H4P_MQTT_Simple\H4P_MQTT_Simple.ino                         | C++                |         27 |         14 |          8 |         49 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\MQTT\H4P_MQTT_Subtopics\H4P_MQTT_Subtopics.ino                   | C++                |         33 |         19 |          7 |         59 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\MQTT\H4P_MQTT_Wildcards\H4P_MQTT_Wildcards.ino                   | C++                |         36 |         39 |          5 |         80 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\MUSIC\H4P_GymnopedieNo1\H4P_GymnopedieNo1.ino                    | C++                |         27 |          3 |          6 |         36 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\MUSIC\H4P_Simple_Tones\H4P_Simple_Tones.ino                      | C++                |         34 |          0 |          5 |         39 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\MUSIC\H4P_Sirens\H4P_Sirens.ino                                  | C++                |         26 |          8 |          3 |         37 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\MUSIC\H4P_TakeOnMe\H4P_TakeOnMe.ino                              | C++                |         48 |          6 |          7 |         61 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\PRESENCE\H4P_PresenceDetectH4\H4P_PresenceDetectH4.ino           | C++                |          6 |          0 |          3 |          9 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\PRESENCE\H4P_PresenceDetectIP\H4P_PresenceDetectIP.ino           | C++                |         10 |          0 |          2 |         12 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\PRESENCE\H4P_PresenceDetectMDNS\H4P_PresenceDetectMDNS.ino       | C++                |          7 |          0 |          1 |          8 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\PRESENCE\H4P_PresenceDetectUPNP\H4P_PresenceDetectUPNP.ino       | C++                |          6 |          1 |          2 |          9 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\THINGS\H4P_BinarySwitchMQTT\H4P_BinarySwitchMQTT.ino             | C++                |         28 |         16 |          5 |         49 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\THINGS\H4P_BinarySwitchMfnb\H4P_BinarySwitchMfnb.ino             | C++                |         25 |         11 |          4 |         40 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\THINGS\H4P_BinarySwitch\H4P_BinarySwitch.ino                     | C++                |         16 |          9 |          2 |         27 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\THINGS\H4P_BinaryThingAutoOff\H4P_BinaryThingAutoOff.ino         | C++                |          8 |          1 |          3 |         12 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\THINGS\H4P_BinaryThing\H4P_BinaryThing.ino                       | C++                |          6 |          9 |          5 |         20 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\THINGS\H4P_ConditionalSwitch\H4P_ConditionalSwitch.ino           | C++                |         13 |          0 |          5 |         18 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\THINGS\H4P_ConditionalThing\H4P_ConditionalThing.ino             | C++                |         17 |          0 |          7 |         24 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\THINGS\H4P_Generic_SQUAWK\H4P_Generic_SQUAWK.ino                 | C++                |         44 |          8 |          7 |         59 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\THINGS\SQUAWK\SQUAWK.ino                                         | C++                |         40 |         17 |         12 |         69 |
| c:\Users\phil\Documents\Arduino\libraries\H4Plugins\examples\TIME\ClockNTP\ClockNTP.ino                                       | C++                |         65 |         38 |         38 |        141 |
